time-stamp,Temperature,Humidity,Light,Pressure,Flow
2017-10-16 18:17:08.381698,1,2,3,4,5
2017-10-16 18:17:09.382884,1,2,3,4,5
2017-10-16 18:17:10.382966,1,2,3,4,5
2017-10-16 18:17:11.383621,1,2,3,4,5
2017-10-16 18:17:12.383845,1,2,3,4,5
2017-10-16 18:17:13.384455,1,2,3,4,5
2017-10-16 18:17:14.384798,1,2,3,4,5
2017-10-16 18:17:15.384812,1,2,3,4,5
2017-10-16 18:17:16.385493,1,2,3,4,5
2017-10-16 18:17:17.386266,1,2,3,4,5
2017-10-16 18:17:18.386741,1,2,3,4,5
2017-10-16 18:17:19.386899,1,2,3,4,5
2017-10-16 18:17:20.387068,1,2,3,4,5
2017-10-16 18:17:21.387482,1,2,3,4,5
2017-10-16 18:17:22.387551,1,2,3,4,5
2017-10-16 18:17:23.388867,1,2,3,4,5
2017-10-16 18:17:24.389182,1,2,3,4,5
2017-10-16 18:17:25.389996,1,2,3,4,5
2017-10-16 18:17:26.390284,1,2,3,4,5
2017-10-16 18:17:27.390295,1,2,3,4,5
time-stamp,Temperature,Humidity,Light,Pressure,Flow
2017-10-16 21:53:45.003790,1,2,3,4,5
2017-10-16 21:53:46.004303,1,2,3,4,5
2017-10-16 21:53:47.004928,1,2,3,4,5
time-stamp,Temperature,Humidity,Light,Pressure,Flow
2017-10-16 21:54:18.725593,1,2,3,4,5
2017-10-16 21:54:19.726712,1,2,3,4,5
time-stamp,Temperature,Humidity,Light,Pressure,Flow
2017-10-18 10:46:46.268158,1,2,3,4,5
2017-10-18 10:46:47.268924,1,2,3,4,5
2017-10-18 10:46:48.269720,1,2,3,4,5
2017-10-18 10:46:49.270442,1,2,3,4,5
2017-10-18 10:46:50.270898,1,2,3,4,5
2017-10-18 10:46:51.271537,1,2,3,4,5
2017-10-18 10:46:52.272309,1,2,3,4,5
2017-10-18 10:46:53.272534,1,2,3,4,5
2017-10-18 10:46:54.272722,1,2,3,4,5
2017-10-18 10:46:55.272812,1,2,3,4,5
2017-10-18 10:46:56.273228,1,2,3,4,5
2017-10-18 10:46:57.273857,1,2,3,4,5
2017-10-18 10:46:58.274736,1,2,3,4,5
2017-10-18 10:46:59.274833,1,2,3,4,5
2017-10-18 10:47:00.275749,1,2,3,4,5
2017-10-18 10:47:01.276210,1,2,3,4,5
2017-10-18 10:47:02.277004,1,2,3,4,5
2017-10-18 10:47:03.277742,1,2,3,4,5
2017-10-18 10:47:04.278350,1,2,3,4,5
2017-10-18 10:47:05.278703,1,2,3,4,5
2017-10-18 10:47:06.279345,1,2,3,4,5
2017-10-18 10:47:07.279526,1,2,3,4,5
2017-10-18 10:47:08.280457,1,2,3,4,5
2017-10-18 10:47:09.280870,1,2,3,4,5
2017-10-18 10:47:10.281494,1,2,3,4,5
2017-10-18 10:47:11.282370,1,2,3,4,5
2017-10-18 10:47:12.282697,1,2,3,4,5
2017-10-18 10:47:13.283419,1,2,3,4,5
2017-10-18 10:47:14.283862,1,2,3,4,5
2017-10-18 10:47:15.284745,1,2,3,4,5
2017-10-18 10:47:16.285558,1,2,3,4,5
2017-10-18 10:47:17.286483,1,2,3,4,5
2017-10-18 10:47:18.287136,1,2,3,4,5
2017-10-18 10:47:19.287690,1,2,3,4,5
2017-10-18 10:47:20.287693,1,2,3,4,5
2017-10-18 10:47:21.288260,1,2,3,4,5
2017-10-18 10:47:22.288626,1,2,3,4,5
2017-10-18 10:47:23.289039,1,2,3,4,5
2017-10-18 10:47:24.289069,1,2,3,4,5
2017-10-18 10:47:25.289885,1,2,3,4,5
2017-10-18 10:47:26.289935,1,2,3,4,5
2017-10-18 10:47:27.290800,1,2,3,4,5
2017-10-18 10:47:28.291173,1,2,3,4,5
2017-10-18 10:47:29.291986,1,2,3,4,5
2017-10-18 10:47:30.292705,1,2,3,4,5
2017-10-18 10:47:31.293480,1,2,3,4,5
2017-10-18 10:47:32.294138,1,2,3,4,5
2017-10-18 10:47:33.295482,1,2,3,4,5
2017-10-18 10:47:34.295663,1,2,3,4,5
2017-10-18 10:47:35.296384,1,2,3,4,5
2017-10-18 10:47:36.297384,1,2,3,4,5
2017-10-18 10:47:37.298254,1,2,3,4,5
2017-10-18 10:47:38.299194,1,2,3,4,5
2017-10-18 10:47:39.299245,1,2,3,4,5
2017-10-18 10:47:40.299269,1,2,3,4,5
2017-10-18 10:47:41.300988,1,2,3,4,5
2017-10-18 10:47:42.301709,1,2,3,4,5
2017-10-18 10:47:43.302523,1,2,3,4,5
2017-10-18 10:47:44.303258,1,2,3,4,5
2017-10-18 10:47:45.304127,1,2,3,4,5
2017-10-18 10:47:46.304573,1,2,3,4,5
2017-10-18 10:47:47.305176,1,2,3,4,5
2017-10-18 10:47:48.306958,1,2,3,4,5
2017-10-18 10:47:49.307717,1,2,3,4,5
2017-10-18 10:47:50.308187,1,2,3,4,5
2017-10-18 10:47:51.308764,1,2,3,4,5
2017-10-18 10:47:52.309486,1,2,3,4,5
2017-10-18 10:47:53.310257,1,2,3,4,5
2017-10-18 10:47:54.310979,1,2,3,4,5
2017-10-18 10:47:55.311732,1,2,3,4,5
2017-10-18 10:47:56.313608,1,2,3,4,5
2017-10-18 10:47:57.314096,1,2,3,4,5
2017-10-18 10:47:58.315819,1,2,3,4,5
2017-10-18 10:47:59.318020,1,2,3,4,5
2017-10-18 10:48:00.320050,1,2,3,4,5
2017-10-18 10:48:01.324216,1,2,3,4,5
2017-10-18 10:48:02.339724,1,2,3,4,5
2017-10-18 10:48:03.359598,1,2,3,4,5
2017-10-18 10:48:04.372343,1,2,3,4,5
2017-10-18 10:48:05.376189,1,2,3,4,5
2017-10-18 10:48:06.376716,1,2,3,4,5
2017-10-18 10:48:07.377433,1,2,3,4,5
2017-10-18 10:48:08.379319,1,2,3,4,5
2017-10-18 10:48:09.380233,1,2,3,4,5
2017-10-18 10:48:10.380342,1,2,3,4,5
2017-10-18 10:48:11.380351,1,2,3,4,5
2017-10-18 10:48:12.380688,1,2,3,4,5
2017-10-18 10:48:13.381419,1,2,3,4,5
2017-10-18 10:48:14.384135,1,2,3,4,5
2017-10-18 10:48:15.385106,1,2,3,4,5
2017-10-18 10:48:16.385672,1,2,3,4,5
2017-10-18 10:48:17.388622,1,2,3,4,5
2017-10-18 10:48:18.390730,1,2,3,4,5
2017-10-18 10:48:19.391735,1,2,3,4,5
2017-10-18 10:48:20.392592,1,2,3,4,5
2017-10-18 10:48:21.393407,1,2,3,4,5
2017-10-18 10:48:22.393688,1,2,3,4,5
2017-10-18 10:48:23.394497,1,2,3,4,5
2017-10-18 10:48:24.395272,1,2,3,4,5
2017-10-18 10:48:25.396157,1,2,3,4,5
2017-10-18 10:48:26.397002,1,2,3,4,5
2017-10-18 10:48:27.397995,1,2,3,4,5
2017-10-18 10:48:28.398633,1,2,3,4,5
2017-10-18 10:48:29.398984,1,2,3,4,5
2017-10-18 10:48:30.399099,1,2,3,4,5
2017-10-18 10:48:31.400030,1,2,3,4,5
2017-10-18 10:48:32.400728,1,2,3,4,5
2017-10-18 10:48:33.400811,1,2,3,4,5
2017-10-18 10:48:34.400983,1,2,3,4,5
2017-10-18 10:48:35.401334,1,2,3,4,5
2017-10-18 10:48:36.401573,1,2,3,4,5
2017-10-18 10:48:37.402170,1,2,3,4,5
